Solicitação	Tipo Solicitação	Problema	Número OS BB	Bem	Item	Situação Equip.	Ag. SAG	Nome Local	LAT	Descrição Item	Número de Série	Cliente	Conta	Status	Data Abertura	Data Fechamento	Criticidade	SEMAT	Contrato	Data Resolução	Grupo	UF	
9522642	Manutenção Corretiva	DVR possui dois canais com a nomenclatura ATEND_4 e INTERNO_2 sem sinal das câmeras, caso não possuir câmera para o mesmo, por favor renomear o canal corretamente.		0697000203000	GRPE-000038	Contratado	0697.00	SETE DE SETEMBRO	CAT-RECIFE	T-99 DOSI BB LEGADO		BANCO DO BRASIL S.A	00000000	Suspenso	28/02/2023 17:54:39		1		00203/2020	01/03/2023 17:54:39	REC	PE	
9522495	Manutenção Corretiva	TAA INOPERANTE, SEM COMUNICACAON	20230196000016	7417211830079	EQPT-087381	Contratado	0196.91	SAA-AGRESTINA	TR-CARUARU	T-10 TAA TAAMC SUPERFULL TRASEIRO PERTO TMD 2100 V 20		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 16:56:26		14		00119/2021	28/02/2023 16:56:26	REC	PE	
9522467	Manutenção Corretiva	 SOLICITAMOS INSTALAÇÃO SIRENE, CABO DANIFICADO.		1049000206001	GRPE-900022	Contratado	1049.00	CORRENTES	TR-GARANHUNS	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	28/02/2023 17:09:42		S1		00206/2019	07/03/2023 11:00:00	REC	PE	
9522411	Manutenção Corretiva	SIRENE DEFEITO SOLICITAR CABEAMENTO ABRIR O.S CARRO OFICINA.		1049000206001	GRPE-900022	Contratado	1049.00	CORRENTES	TR-GARANHUNS	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	28/02/2023 16:54:50		S1		00206/2019	07/03/2023 10:54:50	REC	PE	
9522395	Manutenção Corretiva	SUCESSIVAS FALHAS LOGICAS NO FECHAMENTO ONLINE DO TAA GERANDO DESCONCILIA¸AO DO SALDO FISICO X SALDO LØGICON	20230220000023	7417163284481	EQPT-079049	Contratado	0220.91	SAA-GOIANA	TR-GOIANA	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 16:22:47		14		00119/2021	28/02/2023 16:22:47	REC	PE	
9522384	Manutenção Corretiva	TERMINAL INOPERANTE PARA SAQUE E DEPOSITO; OPERA¸AO FALHOU.N	20232239000016	7417183024313	EQPT-083401	Contratado	2239.91	SAA-LAGOA DO ITAENGA	TR-GRAVATA	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 16:21:42		14		00119/2021	28/02/2023 16:21:42	REC	PE	
9522362	Manutenção Corretiva	Disparos recorrentes P3 - TESOURARIA   Z6 - COFRE		2244000206001	GRPE-900022	Contratado	2244.00	LAJEDO	TR-CARUARU	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	28/02/2023 16:39:31		S1		00206/2019	07/03/2023 11:00:00	REC	PE	
9522332	Manutenção Corretiva	STAKER PRESENTER QUEBRADO DO MODULO PAGADORN	20232442000024	7417163281771	EQPT-079049	Contratado	2442.91	SAA-PILAO ARCADO	TR-PETROLINA	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 16:04:19		15		00119/2021	28/02/2023 16:04:19	REC	BA	
9522300	Manutenção Corretiva	MONITOR NAO FUNCIONA. NECESSITA TROCAR LEITOR DE CARTAON	20234923000088	7417183022495	EQPT-083401	Contratado	4923.03	SOP-OLINDA	CAT-RECIFE	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Suspenso	28/02/2023 15:56:15		14		00119/2021	28/02/2023 15:56:15	REC	PE	
9522291	Manutenção Corretiva	CORREIA DE TRACAO CASSETE A QUEBRADA.N	20238889000083	7417163285355	EQPT-079049	Contratado	8889.02	SOP-PETROLINA	TR-PETROLINA	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 15:46:58		14		00119/2021	28/02/2023 15:46:58	REC	PE	
9522237	Manutenção Corretiva	Enviar um técnico para realizar conjunta com operadora no dia 02/03/2023 às 10 horas.		1902016135900	GRPE-900025	Contratado	1359.00	CUMARU	TR-LIMOEIRO	T-99 CENTRAIS DE TELEFONIA BBTS OUTSOURCINCG DE TELEFONIA		COBRA TECNOLOGIA SA	42318949	Aberto	28/02/2023 15:58:08		C2		00190/2016	02/03/2023 15:58:08	REC	PE	
9522235	Manutenção Corretiva	MODULO PAGADOR COM CONSTANTES PROBLEMAS NO MODULO PAGADOR.       NOTAMOS DIFICULDADE NA EXTRACAO DO NUMERARIO NO CASSTE DN	20234923000087	7417163283075	EQPT-079049	Contratado	4923.03	SOP-OLINDA	CAT-RECIFE	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Suspenso	28/02/2023 15:35:55		14		00119/2021	28/02/2023 15:35:55	REC	PE	
9522188	Manutenção Corretiva	LED DO CASSETE C E D APITANDO E PISCANDO LARANJAN	20234844000606	7417163282350	EQPT-079049	Contratado	4844.03	SOP-SETE DE SETEMBRO	CAT-RECIFE	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 15:25:22		13		00119/2021	28/02/2023 15:25:22	REC	PE	
9522151	Manutenção Corretiva	MASCARAMENTO SENSOR   28/02/2023 13:41:00   4 - SAA.   3 - SAA COLUNA   -		2693000206001	GRPE-900022	Contratado	2693.00	SIRINHAEM	TR-RIBEIRAO	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	28/02/2023 15:24:51		S1		00206/2019	01/03/2023 15:24:51	REC	PE	
9522147	Manutenção Corretiva	MASCARAMENTO SENSOR   28/02/2023 12:08:00   1 - AGÊNCIA   12 - SENSOR DML, evento recorrente , solicito visita técnica		2081000206001	GRPE-900022	Contratado	2081.00	GLORIA DO GOITA	REC	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	28/02/2023 15:24:29		S1		00206/2019	09/03/2023 17:00:00	REC	PE	
9522130	Manutenção Corretiva	TÒNEL DO MODULO DEPOSITARIO BLOQUEADO, NAO ENCONTRAMOS NADA QUE  ESTEJA GERANDO ESTE PROBLEMA.N	20234637000015	7417163284105	EQPT-079049	Contratado	4637.91	SAA-TORITAMA	TR-CARUARU	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 15:10:58		14		00119/2021	28/02/2023 15:10:58	REC	PE	
9522124	Manutenção Corretiva	TERMINAL INOPERANTE PARA SAQUE; PROBLEMAS NO MECANISMO DE PAGAMENTO; CASSETE D PRESO; IMPOSSIVEL REALIZAR ABASTECIMENTO/RECOLHIMENTO.                                                                                                N	20232239000015	7417163281692	EQPT-079049	Contratado	2239.91	SAA-LAGOA DO ITAENGA	TR-GRAVATA	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 14:56:44		14		00119/2021	28/02/2023 14:56:44	REC	PE	
9522104	Manutenção Corretiva	Defeito : disparos indevidos na madrugada, segundo denúncia feita ao BACEN.   Nome : Robson De Araújo   Matrícula :f8698713-5  Telefone : 81 9 88545614  e-mail : age2365@bb.com.br 		2365000206001	GRPE-900022	Contratado	2365.00	OLINDA	CAT-RECIFE	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	28/02/2023 15:16:26		S1		00206/2019	01/03/2023 15:16:26	REC	PE	
9522103	Instalação	Câmera não liga, será necessário troca da câmera do Corredor de Abastecimento  ATOS-008419   		1069000203000	GRPE-000038	Contratado	1069.00	IBIMIRIM	TR-ARCOVERDE	T-99 DOSI BB LEGADO		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 15:15:02		1		00203/2020	03/04/2023 18:00:00	REC	PE	
9521971	Manutenção Corretiva	"Acionador de pânico móvel nº 204 sem sinal, provável bateria baixa. Sugerimos que além deste, realize preventivamente a substituição da bateria de todos.		2889000206001	GRPE-900022	Contratado	2889.00	CEASA-RECIFE	CAT-RECIFE	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	28/02/2023 14:24:27		S1		00206/2019	01/03/2023 14:24:27	REC	PE	
9521964	Manutenção Corretiva	TAA COM PROBLEMAS NO DEPOSITARIO DE ENVELOPES: OBSERVAMOS QUE HA FIOS SOLTOS ATRAS DO CASSETE DE DEPOSITO.N	20234637000014	7419151141178	EQPT-069963	Contratado	4637.91	SAA-TORITAMA	TR-CARUARU	T-10 TAA TAAMC FULL TRASEIRO PERTO TMD-2100V13 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 13:55:40		14		00119/2021	28/02/2023 13:55:40	REC	PE	
9521955	Manutenção Corretiva	668-IMPRESSORA NAO RESPONDE (IMPRESSORA DE FORMULARIOS)N	20230870000036	7417211830315	EQPT-087381	Contratado	0870.91	SAA-SALGUEIRO	TR-SALGUEIRO	T-10 TAA TAAMC SUPERFULL TRASEIRO PERTO TMD 2100 V 20		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 14:01:03		14		00119/2021	28/02/2023 14:01:03	REC	PE	
9521922	Manutenção Corretiva	TAA INDISPONIVEL PARA SAQUES E DEPOSITOSN	20230711000023	7417210950238	EQPT-086206	Contratado	0711.91	SAA-STA.CRUZ CAPIBAR	TR-CARUARU	T-10 TERMINAL RECICLADOR TAART DIEBOLD V19		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 13:43:01		14		00119/2021	28/02/2023 13:43:01	REC	PE	
9521836	Manutenção Corretiva	TAA NAO ESTA IMPRIMINDO CHEQUES. FOLHAS ATOLANDON	20230711000022	7417211830257	EQPT-087381	Contratado	0711.91	SAA-STA.CRUZ CAPIBAR	TR-CARUARU	T-10 TAA TAAMC SUPERFULL TRASEIRO PERTO TMD 2100 V 20		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 13:19:30		14		00119/2021	28/02/2023 13:19:30	REC	PE	
9521780	Manutenção Corretiva	REABERTO EM VIRTUDE BAIXA EQUIVOCADA PELA BBTS.N	20234834000423	7417183020663	EQPT-083401	Contratado	4923.03	SOP-OLINDA	CAT-RECIFE	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 12:51:54		14		00119/2021	28/02/2023 12:51:54	REC	PE	
9521737	Manutenção Corretiva	DISPOSITIVO INOPERANTE,VERSAO DE FIRMWARE INCORRETAN	20232257000020	7419151141279	EQPT-069963	Contratado	2257.91	SAA-MACAPARANA	TR-GOIANA	T-10 TAA TAAMC FULL TRASEIRO PERTO TMD-2100V13 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 12:41:38		14		00119/2021	28/02/2023 12:41:38	REC	PE	
9521687	Manutenção Corretiva	TAA INOPERANTE, NAO INICIALIZA E QUANDO INICIALIZA FICA OFF LINEN	20230600000014	7417183023816	EQPT-083401	Contratado	0600.91	SAA-ARARIPINA	TR-SALGUEIRO	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 12:18:43		14		00119/2021	28/02/2023 12:18:43	REC	PE	
9521671	Manutenção Corretiva	CASSETE A INDISPONIVEL, COM DEFEITO.N	20234923000086	7417183020097	EQPT-083401	Contratado	4923.01	SOP-PAULISTA	CAT-RECIFE	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 12:07:39		13		00119/2021	28/02/2023 12:07:39	REC	PE	
9521670	Manutenção Corretiva	SIRENE DISPARANDO CONSTANTEMENTE.N	20234923000085	7417163284808	EQPT-079049	Contratado	4923.01	SOP-PAULISTA	CAT-RECIFE	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 12:06:16		13		00119/2021	28/02/2023 12:06:16	REC	PE	
9521659	Manutenção Corretiva	MODULO DE PAGAMENTO SE SOLTOU DA CORREIAN	20234844000599	7417163283696	EQPT-079049	Contratado	4844.03	SOP-SETE DE SETEMBRO	CAT-RECIFE	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 12:12:52		13		00119/2021	28/02/2023 12:12:52	REC	PE	
9521639	Manutenção Corretiva	FALHA NO CASSETE A, E IMPRESSORA DE RECIBOS NAO RESPONDE.N	20232437000026	7417163282839	EQPT-079049	Contratado	2437.91	SAA-PESQUEIRA	TR-ARCOVERDE	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 12:07:17		14		00119/2021	28/02/2023 12:07:17	REC	PE	
9521627	Manutenção Corretiva	DVR da unidade possui um canal com a nomenclatura SL_ONLINE_1 sem sinal, caso não possuir câmera para o mesmo, por favor renomear o canal corretamente.		1264000203000	GRPE-000038	Contratado	1264.00	ALIANCA	TR-GOIANA	T-99 DOSI BB LEGADO		BANCO DO BRASIL S.A	00000000	Suspenso	28/02/2023 12:24:24		1		00203/2020	01/03/2023 12:24:24	REC	PE	
9521613	Manutenção Corretiva	LED DO CASSETE DE 50 E 100 NA COR AMARELAN	20234844000598	7417163283018	EQPT-079049	Contratado	4844.03	SOP-SETE DE SETEMBRO	CAT-RECIFE	T-10 TAA TAAMC FULL TRASEIRO OKI ATM FULL 1502 MT001 2015 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 11:52:55		13		00119/2021	28/02/2023 11:52:55	REC	PE	
9521604	Manutenção Corretiva	TAA BLOQUEADO PARA ABASTECIMENTO/RECOLHIMENTO, POR©M NAO ACEITA O COMANDO DE RECOLHIMENTO TOTAL. "PROBLEMAS NO MODULO DE CONTAGEM,DISPON­VEL PARA RECOLHIMENTO TOTAL". SENDO QUE FOI REGISTRADO NODSP RECOLHIMENTO TOTAL.           N	20233924000006	7417210950100	EQPT-086206	Contratado	3924.91	SAA-TAMANDARE	TR-RIBEIRAO	T-10 TERMINAL RECICLADOR TAART DIEBOLD V19		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 11:55:36		14		00119/2021	28/02/2023 11:55:36	REC	PE	
9521591	Manutenção Corretiva	DVR da unidade possui um canal com a nomenclatura SAA_2, a mesma está com problema no sinal da câmera.		1814000203000	GRPE-000038	Contratado	1814.00	SHOPPING TACARUNA	CAT-RECIFE	T-99 DOSI BB LEGADO		BANCO DO BRASIL S.A	00000000	Suspenso	28/02/2023 12:09:46		1		00203/2020	01/03/2023 12:09:46	REC	PE	
9521567	Manutenção Corretiva	TERMINAL INDISPONIVEL PARA SAQUE E DEPOSITO (MODULO RECICLADOR DEC©DULAS);FALHA GERAL NO SISTEMA DE ENTINTAMENTO DO CASSETE A,B,C,D E E.                                                                                             N	20234844000597	7417183020609	EQPT-083401	Contratado	4844.04	SOP-CASA FORTE	CAT-RECIFE	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 11:45:16		13		00119/2021	28/02/2023 11:45:16	REC	PE	
9521494	Manutenção Corretiva	IMPRESSORA NAO ESTA SE COMUNICANDO COM A REDE.N	20234844000596	8558100222953	EQPT-042727	Contratado	1138.00	SAO LOURENCO DA MATA	CAT-RECIFE	T-10 IMPRESSORA LASER MONOCROMATICA MICR DUPLEX HP P2055DN 33 PPM		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 11:15:27		21		00118/2021	02/03/2023 13:15:27	REC	PE	
9521475	Manutenção Corretiva	SENSOR INTERMEDIARIO 1 ENTRE OS COFRES (SENSORES EXTERNOS)N	20230922000029	7417183020102	EQPT-083401	Contratado	0922.91	SAA-GRAVATA	TR-GRAVATA	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 11:19:19		14		00119/2021	28/02/2023 11:19:19	REC	PE	
9521438	Manutenção Corretiva	ERRO NO SENSOR DO BOCAL/NOTAS ENROSCADAS                         CASSETE "D" COM DEFEITON	20234844000595	7417161483349	EQPT-078245	Contratado	4844.35	SOP-AFOGADOS	CAT-RECIFE	T-10 TAA TAAST SAQUE TRASEIRO DIEBOLD CD-4500-235/237 2015 V15		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 11:12:25		13		00119/2021	28/02/2023 11:12:25	REC	PE	
9521396	Manutenção Corretiva	TERMINAL INDISPONIVEL PARA SAQUE E DEPOSITO (MODULO RECICLADOR DEC©DULAS); PODEM HAVER CEDULAS PRESAS NO MECANISMO; SENSOR DE POSICIONAMENTO DO MODULO SUPERIOR.                                                                     N	20234844000594	7417183020608	EQPT-083401	Contratado	4844.04	SOP-CASA FORTE	CAT-RECIFE	T-10 TERMINAL RECICLADOR TAART DIEBOLD V17		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 10:58:07		13		00119/2021	28/02/2023 10:58:07	REC	PE	
9521343	Manutenção Corretiva	2 cameras externas com defeito.	230027043.1	2442001400020	GRPE-000001	Contratado	2442.00	PILAO ARCADO	TR-PETROLINA	EQUIPAMENTOS CFTV		BANCO DO BRASIL S.A	00000000	Suspenso	28/02/2023 11:05:00		4		00037/2018	03/03/2023 14:30:00	REC	BA	
9521341	Instalação	 Realizado troca da fonte. Será aberto chamado de instalação para substituição de três câmeras que apresentou defeito.   		0115000203000	GRPE-000038	Contratado	0115.00	PALMARES	TR-RIBEIRAO	T-99 DOSI BB LEGADO		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 11:01:10		1		00203/2020	03/04/2023 18:00:00	REC	PE	
9521243	Manutenção Corretiva	Disparos/Mascaramentos indevidos P3 Z6.  Necessita de intervenção técnica.		2437000206001	GRPE-900022	Contratado	2437.00	PESQUEIRA	TR-ARCOVERDE	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	28/02/2023 10:39:21		S1		00206/2019	08/03/2023 14:35:00	REC	PE	
9521239	Manutenção Corretiva	COMPUTADOR LIGA MAS NAO INICIA SISTEMA.N	20234844000593	7419152434395	EQPT-075686	Contratado	0325.00	DANTAS BARRETO	CAT-RECIFE	T-10 TMF AG POSITIVO MASTER D380 2015		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 10:18:33		22		00118/2021	02/03/2023 15:18:33	REC	PE	
9521238	Manutenção Corretiva	MICRO NAO INICIA,TELA PRETAN	20234844000592	7419152434401	EQPT-075686	Contratado	0325.00	DANTAS BARRETO	CAT-RECIFE	T-10 TMF AG POSITIVO MASTER D380 2015		BANCO DO BRASIL S.A	00000000	Suspenso	28/02/2023 10:16:49		22		00118/2021	02/03/2023 15:16:49	REC	PE	
9521237	Manutenção Corretiva	MICRO NAO INICIA . TELA PRETAN	20234844000591	7419152467013	EQPT-075686	Contratado	0325.00	DANTAS BARRETO	CAT-RECIFE	T-10 TMF AG POSITIVO MASTER D380 2015		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 10:16:00		22		00118/2021	02/03/2023 15:16:00	REC	PE	
9521118	Manutenção Corretiva	Sensores da partição 1 disparando sem causa aparente;    10 - ATENDIMENTO, 11 - ESCADA  e 17 - ATENDIMENTO.		1833000206001	GRPE-900022	Contratado	1833.00	BENFICA-PE	CAT-RECIFE	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	28/02/2023 10:10:27		S1		00206/2019	01/03/2023 10:10:27	REC	PE	
9521106	Manutenção Corretiva	Defeito: Zona 29 - PANICO FIXO CASA FORTE gerando VIOLAÇÃO DE TAMPER. Gerente:JOAO PAULO F4956816. Telefone:(87) 3821-1157. E-mail:psv9700@bb.com.br		9700000206001	GRPE-900022	Contratado	9700.00	SERET ARCOVERDE	TR-ARCOVERDE	T-99 CENTRAIS DE ALARME BBTS OUTSOURCINCG DE SISTEMAS DE ALARME		COBRA TECNOLOGIA SA	42318949	Suspenso	28/02/2023 10:09:25		S1		00206/2019	08/03/2023 14:35:00	REC	PE	
9521010	Manutenção Corretiva	TERMINAL APRESENTANDO FALHAS NAS ALIMENTACIES DOS CASSETES.      TAA INDISPON­VEL.N	20230710000010	7417211830256	EQPT-087381	Contratado	0710.91	SAA-BARREIROS	TR-RIBEIRAO	T-10 TAA TAAMC SUPERFULL TRASEIRO PERTO TMD 2100 V 20		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 09:29:32		14		00119/2021	28/02/2023 09:30:00	REC	PE	
9520959	Manutenção Corretiva	ERRO NOS SAQUESN	20231689000011	7419143322525	EQPT-071457	Contratado	1689.91	SAA-CACHOEIRINHA	TR-CARUARU	T-10 TAA TAAST SAQUE DEPOSITO TRASEIRO DIEBOLD CD4500ST 2014 C/ENTINTAMENTO		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 09:15:37		13		00119/2021	28/02/2023 09:30:00	REC	PE	
9520891	Manutenção Corretiva	CABO FONTE NAO FUNCIONAN	20232257000019	7417192425450	EQPT-084892	Contratado	2257.00	MACAPARANA	TR-GOIANA	T-10 MICRO TMF AG POSITIVO PE 2018/04269		BANCO DO BRASIL S.A	00000000	Aberto	28/02/2023 08:58:51		22		00118/2021	02/03/2023 14:00:00	REC	PE	
